Band,Album,albumlink,n,mean,w.mean,diff,l95,CI,w.meanRank,meanRank,users5
Wolf Parade,Cry Cry Cry,/album/257749/Wolf-Parade-Cry-Cry-Cry/,32,3.428125,3.320935454,-0.107,2.60952813,2.61 - 3.94,690,846,"klap (13.6%), DoofusWainwright (10.7%), robin (9.1%), SandwichBubble (5.8%), Dewinged (5.3%)"
Street Sects,Rat Jacket,/album/263715/Street-Sects-Rat-Jacket/,22,3.659090909,3.458661802,-0.2,2.606421205,2.61 - 4.15,691,437,"BallsToTheWall (26.7%), Papa+Universe (11.7%), Mort. (9.7%), Ryus (9.4%), Sniff (6.6%)"
Grift,Arvet,/album/260577/Grift-Arvet/,14,3.678571429,3.664461956,-0.014,2.60530697,2.61 - 4.43,692,388,"Hawks (21.9%), linguist2011 (18.0%), Papa+Universe (16.0%), Sniff (9.9%), BlackwaterPork (7.8%)"
Clark,Death Peak,/album/248466/Clark-Death-Peak/,30,3.516666667,3.338234479,-0.178,2.60417265,2.6 - 3.97,693,696,"DoofusWainwright (9.9%), Papa+Universe (8.8%), JamieTwort (8.6%), jtswope (8.6%), Lord%28e%29Po%29%29%29ts (8.2%)"
Oranssi Pazuzu,Kevat / Varimyrsky,/album/249630/Oranssi-Pazuzu-Kev%C3%A4t---V%C3%A4rimyrsky/,11,3.681818182,3.79262857,0.111,2.602419652,2.6 - 4.59,694,382,"VisionsFromTheDarkSide (29.0%), FirstStrikeIsDeadly (23.9%), bgillesp (16.7%), deezer666 (10.6%), ZombieParty (6.8%)"
Laibach,Also Sprach Zarathustra,/album/257115/Laibach-Also-Sprach-Zarathustra/,18,3.583333333,3.540790073,-0.043,2.602135944,2.6 - 4.27,695,578,"insomniac15 (18.4%), DrGonzo1937 (18.2%), Jasdevi087 (13.9%), Relinquished (9.1%), Flugmorph (8.9%)"
"Our Hollow, Our Home",Hartsick,/album/246483/Our-Hollow-Our-Home-Hartsick/,24,3.508333333,3.419523755,-0.089,2.602089533,2.6 - 4.1,696,709,"Willie (25.8%), linguist2011 (19.4%), Ebola (11.2%), SteakByrnes (6.8%), SatelliteYears (6.2%)"
Rise Against,Wolves,/album/250684/Rise-Against-Wolves/,208,3.146153846,2.884536573,-0.262,2.600212569,2.6 - 3.16,697,1116,"Willie (3.6%), Green+Baron (3.2%), linguist2011 (3.0%), Insurrection (3.0%), Spec (2.9%)"
Palehorse/Palerider,Burial Songs,/album/258039/Palehorse-Palerider-Burial-Songs/,9,3.944444444,3.912432184,-0.032,2.599698546,2.6 - 4.71,698,29,"Dewinged (20.3%), theBoneyKing (18.7%), AdolfChrist (16.8%), Aberf (12.5%), Buccaneer (12.1%)"
Ingurgitating Oblivion,Vision Wallows In Symphonies Of Light,/album/251536/Ingurgitating-Oblivion-Vision-Wallows-In-Symphonies-Of-Light/,17,3.676470588,3.564310684,-0.112,2.599436518,2.6 - 4.31,699,396,"Willie (15.9%), Jacquibim (11.4%), Papa+Universe (10.9%), Thor (10.8%), Ignimbrite (8.8%)"
Sinmara,Within the Weaves of Infinity,/album/258042/Sinmara-Within-the-Weaves-of-Infinity/,19,3.631578947,3.512347562,-0.119,2.597630756,2.6 - 4.23,700,484,"BallsToTheWall (21.3%), TheSpirit (14.4%), Hawks (12.6%), linguist2011 (11.4%), Relinquished (6.0%)"
Migos,Culture,/album/241464/Migos-Culture/,213,2.980751174,2.877401592,-0.103,2.596376826,2.6 - 3.15,4,13,"Trebor. (3.9%), robertsona (2.7%), DoofusWainwright (2.4%), Metalstyles (2.4%), Arcade (2.3%)"
Throwing Snow,Embers,/album/242831/Throwing-Snow-Embers/,17,3.411764706,3.559357671,0.148,2.594333112,2.59 - 4.3,701,867,"jtswope (13.7%), Lord%28e%29Po%29%29%29ts (12.6%), wtferrothorn (11.4%), Sniff (8.0%), Dewinged (7.3%)"
Altarage,Endinghent,/album/262061/Altarage-Endinghent/,20,3.635,3.486273879,-0.149,2.593711122,2.59 - 4.2,702,477,"Willie (19.6%), linguist2011 (15.2%), Relinquished (10.1%), cryptologous (8.1%), Dewinged (8.1%)"
The Tidal Sleep,Be Water,/album/253883/The-Tidal-Sleep-Be-Water/,13,3.730769231,3.69172991,-0.039,2.593703446,2.59 - 4.47,703,284,"Papa+Universe (26.9%), Chamberbelain (23.9%), hesperus (13.1%), SnakeDelilah (11.4%), iamSeraph (6.7%)"
