ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
smino - blkswn,207,alternative r&b,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,12.75,71.33333333,2,1
yaeji - yaeji,297,deep house,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,25.5,12.75,71.33333333,2,1
circuit des yeux - reaching for indigo,326,art pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,25.5,12.75,71.33333333,2,1
valerie june - the order of time,67,americana,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,26,13,71.37037037,2,0
converge - the dusk in us,381,metalcore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,26,13,71.37037037,2,0
jana rush - pariah,286,footwork,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,26.5,13.25,71.40740741,2,1
circle - terminal,349,space rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,26.5,13.25,71.40740741,2,0
young thug - beautiful thugger girls,472,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,31,NA,NA,26.5,13.25,71.40740741,2,0
ty segall - ty segall,135,psychedelic rock,NA,NA,NA,32,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,13.5,71.44444444,2,0
mark lanegan band - gargoyle,167,singer-songwriter,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,27,13.5,71.44444444,2,0
the bug vs. earth - concrete desert,171,electronic,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,27,13.5,71.44444444,2,0
the new pornographers - whiteout conditions,85,indie pop,NA,44,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,13.75,71.48148148,2,0
2 chainz - pretty girls like trap music,261,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,27.5,13.75,71.48148148,2,0
alessandro cortini - avanti,307,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,13.75,71.48148148,2,0
bedouine - bedouine,17,singer-songwriter,17,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,14,71.51851852,2,0
methyl ethel - everything is forgotten,154,psychedelic pop,NA,NA,NA,NA,28,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,14,71.51851852,2,0
trio da kali & kronos quartet - ladilikan,237,classical,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,42,NA,NA,NA,NA,NA,43.67,14.55555556,71.51851852,3,0
jaimie branch - fly or die,424,jazz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,47,NA,NA,NA,NA,NA,28,14,71.51851852,2,1
robert plant - carry fire,75,folk rock,NA,32,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,14.25,71.55555556,2,0
here lies man - here lies man,10,afrobeat,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,14.5,71.59259259,2,1
thurston moore - rock n roll consciousness,25,alternative rock,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,14.5,71.59259259,2,0
pile - a hairshirt of purpose,476,indie rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,15,NA,29.5,14.75,71.62962963,2,0
ghostpoet - dark days + canapes,118,hip hop,NA,NA,47,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,71.66666667,2,0
gnod - just say no to the psycho right-wing capitalist...,348,noise rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,30,15,71.66666667,2,0
paul weller - a kind revolution,101,rock,NA,NA,24,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,15.25,71.7037037,2,0
mogwai - every country's sun,181,post-rock,NA,NA,NA,NA,NA,46,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,15.5,71.74074074,2,0
omni - multi-task,140,post-punk,NA,NA,NA,41,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,15.75,71.77777778,2,0
nicole mitchell - mandorla awakening ii: emerging worlds,357,avant-garde jazz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,31.5,15.75,71.77777778,2,0
pigs pigs pigs pigs pigs pigs pigs - feed the rats,293,psychedelic rock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,71.81481481,2,0
johnny jewel - windswept,200,ambient,NA,NA,NA,NA,NA,NA,44,50,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.33,15.77777778,71.92592593,3,0
blanck mass - world eater,245,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,33.5,16.75,71.92592593,2,0
