Band_Album,Rating,ratings,reviews,lists,comments,id
Brand New_Science Fiction,5,1,0,0,0,2591
Brand New_Science Fiction,4,188,0,1,18,1940
Brand New_Science Fiction,4.5,753,0,0,61,1572
Brand New_Science Fiction,3.5,1316,0,0,6,89
Brand New_Science Fiction,5,12,0,0,5,1133
Brand New_Science Fiction,1,1602,0,12,909,1737
Brand New_Science Fiction,4,41,0,0,0,1939
Brand New_Science Fiction,5,117,0,0,2,2318
Brand New_Science Fiction,4,6,0,0,0,2573
Brand New_Science Fiction,4.5,60,0,0,3,169
Brand New_Science Fiction,2,40,0,0,0,488
Brand New_Science Fiction,5,104,0,0,0,609
Brand New_Science Fiction,4.5,1678,8,3,1451,1969
Brand New_Science Fiction,3.5,2179,87,81,1663,565
Brand New_Science Fiction,4,114,0,0,0,1540
Brand New_Science Fiction,5,132,0,1,101,679
Brand New_Science Fiction,2.5,518,0,37,105,1482
Brand New_Science Fiction,4,2825,0,1,36,1289
Brand New_Science Fiction,4,15,0,0,5,2092
Brand New_Science Fiction,3.5,291,0,4,19,1195
Brand New_Science Fiction,5,122,0,0,0,18
Brand New_Science Fiction,4.5,222,0,0,21,2203
Brand New_Science Fiction,4,754,0,1,12,1152
Brand New_Science Fiction,5,1243,0,6,11,226
Brand New_Science Fiction,3,128,0,0,16,767
Brand New_Science Fiction,4.5,519,0,5,69,595
Brand New_Science Fiction,2.5,278,0,0,79,1491
Brand New_Science Fiction,3.5,86,0,0,0,906
Brand New_Science Fiction,3.5,27,0,0,0,1208
Brand New_Science Fiction,4,115,0,0,0,901
Brand New_Science Fiction,4.5,874,0,0,0,936
Brand New_Science Fiction,4,39,0,0,0,1020
Brand New_Science Fiction,3,164,0,5,75,1978
Brand New_Science Fiction,2.5,1413,7,27,1782,2054
Brand New_Science Fiction,4,146,0,0,0,1901
Brand New_Science Fiction,4.5,257,0,0,4,1409
Brand New_Science Fiction,4.5,30,0,0,0,1043
Brand New_Science Fiction,5,28,0,0,0,785
Brand New_Science Fiction,4,325,0,6,1575,167
Brand New_Science Fiction,3.5,557,0,0,0,2670
Brand New_Science Fiction,5,170,0,0,0,2747
Brand New_Science Fiction,3.5,111,0,0,3,571
Brand New_Science Fiction,4,325,0,0,6,2177
Brand New_Science Fiction,4,423,0,2,9,2608
Brand New_Science Fiction,4,28,0,1,33,2357
Brand New_Science Fiction,4,34,0,0,0,1705
Brand New_Science Fiction,4,86,0,0,0,1258
Brand New_Science Fiction,3,67,0,0,23,27
Brand New_Science Fiction,5,28,0,0,0,1720
Brand New_Science Fiction,4,729,0,1,9,1479
Brand New_Science Fiction,4,81,0,0,0,426
Brand New_Science Fiction,2.5,45,0,0,0,1515
Brand New_Science Fiction,2,65,0,0,0,1806
Brand New_Science Fiction,5,75,0,0,2,579
Brand New_Science Fiction,4,259,0,2,0,2678
Brand New_Science Fiction,3.5,741,0,0,1,1498
Brand New_Science Fiction,3.5,819,0,0,0,842
Brand New_Science Fiction,4.5,195,0,0,2,887
Brand New_Science Fiction,4,331,0,6,74,685
Brand New_Science Fiction,4.5,108,0,0,3,1355
Brand New_Science Fiction,4,49,0,0,0,2316
Brand New_Science Fiction,3.5,1178,0,6,602,802
Brand New_Science Fiction,4,106,0,0,0,292
Brand New_Science Fiction,5,106,4,13,126,1824
Brand New_Science Fiction,5,26,0,0,0,905
Brand New_Science Fiction,4,839,10,19,4104,925
Brand New_Science Fiction,4.5,2093,13,22,215,1892
Brand New_Science Fiction,4,891,0,0,0,774
Brand New_Science Fiction,3,1682,0,0,0,2299
Brand New_Science Fiction,3.5,1596,7,44,852,1456
Brand New_Science Fiction,3.5,510,0,2,37,1615
Brand New_Science Fiction,5,1271,0,0,0,1825
Brand New_Science Fiction,5,190,3,2,16,1555
Brand New_Science Fiction,2.5,1,0,0,1,1200
