Band_Album,Rating,ratings,reviews,lists,comments
Joy Division_Unknown Pleasures,4,628,0,0,0
Joy Division_Unknown Pleasures,4.5,236,0,0,1
Joy Division_Unknown Pleasures,3,828,0,0,1
Joy Division_Unknown Pleasures,4,478,10,27,1154
Joy Division_Unknown Pleasures,5,57,0,0,0
Joy Division_Unknown Pleasures,4,217,0,0,0
Joy Division_Unknown Pleasures,4.5,3740,0,6,8
Joy Division_Unknown Pleasures,4,259,0,0,0
Joy Division_Unknown Pleasures,4.5,1805,0,0,0
Joy Division_Unknown Pleasures,5,931,0,0,14
Joy Division_Unknown Pleasures,4.5,1407,7,8,22
Joy Division_Unknown Pleasures,4,384,0,20,1149
Joy Division_Unknown Pleasures,3.5,1346,0,0,0
Joy Division_Unknown Pleasures,5,1109,0,0,0
Joy Division_Unknown Pleasures,4,53,0,0,0
Joy Division_Unknown Pleasures,5,280,0,0,0
Joy Division_Unknown Pleasures,4.5,2,0,1,2
Joy Division_Unknown Pleasures,5,66,0,0,4
Joy Division_Unknown Pleasures,4.5,882,0,7,25
Joy Division_Unknown Pleasures,2,450,1,0,4
Joy Division_Unknown Pleasures,2.5,2419,3,31,13813
Joy Division_Unknown Pleasures,3.5,693,0,0,3
Joy Division_Unknown Pleasures,4,4677,0,0,1
Joy Division_Unknown Pleasures,4.5,91,0,0,0
Joy Division_Unknown Pleasures,3.5,839,10,19,4104
Joy Division_Unknown Pleasures,5,316,0,0,1
Joy Division_Unknown Pleasures,5,245,0,0,0
Joy Division_Unknown Pleasures,4.5,2387,0,0,1
Joy Division_Unknown Pleasures,5,446,0,2,8
Joy Division_Unknown Pleasures,4,227,0,0,0
Joy Division_Unknown Pleasures,5,289,15,3,5
Joy Division_Unknown Pleasures,4.5,1214,32,46,1415
Joy Division_Unknown Pleasures,4,2302,21,90,15773
Joy Division_Unknown Pleasures,4.5,180,0,0,0
Joy Division_Unknown Pleasures,3,1602,0,12,909
Joy Division_Unknown Pleasures,3,1232,3,0,3698
