Album_Points,Voter_id
9,84
9,84
15,85
15,85
10,85
10,85
10,85
10,85
10,85
10,85
5,85
5,85
16,86
15,86
13,86
11,86
10,86
9,86
8,86
7,86
6,86
5,86
15,87
14,87
12,87
12,87
11,87
9,87
9,87
7,87
6,87
5,87
20,88
15,88
10,88
10,88
10,88
10,88
10,88
5,88
5,88
5,88
20,89
18,89
12,89
10,89
9,89
8,89
7,89
6,89
5,89
5,89
15,90
14,90
13,90
12,90
11,90
9,90
8,90
7,90
6,90
5,90
10,91
10,91
10,91
10,91
10,91
10,91
10,91
10,91
10,91
10,91
20,92
18,92
16,92
16,92
5,92
5,92
5,92
5,92
5,92
5,92
17,93
15,93
11,93
11,93
9,93
8,93
8,93
7,93
7,93
7,93
30,94
12,94
11,94
10,94
9,94
7,94
6,94
5,94
5,94
5,94
16,95
16,95
13,95
13,95
13,95
9,95
5,95
5,95
5,95
5,95
30,96
14,96
11,96
9,96
8,96
7,96
6,96
5,96
5,96
5,96
12,97
12,97
12,97
10,97
10,97
10,97
10,97
8,97
8,97
8,97
20,98
15,98
15,98
10,98
10,98
10,98
5,98
5,98
5,98
5,98
18,99
15,99
12,99
10,99
10,99
9,99
8,99
7,99
6,99
5,99
16,100
16,100
15,100
11,100
11,100
11,100
5,100
5,100
5,100
5,100
15,101
14,101
13,101
10,101
10,101
10,101
8,101
8,101
6,101
6,101
15,102
15,102
15,102
10,102
10,102
10,102
10,102
15,103
14,103
13,103
12,103
11,103
9,103
8,103
7,103
6,103
5,103
10,104
10,104
10,104
10,104
10,104
10,104
10,104
10,104
10,104
10,104
30,105
10,105
10,105
10,105
10,105
10,105
5,105
5,105
5,105
5,105
12,106
12,106
12,106
12,106
10,106
9,106
9,106
8,106
8,106
8,106
10,107
10,107
10,107
10,107
10,107
10,107
10,107
10,107
10,107
10,107
16,108
13,108
11,108
10,108
10,108
8,108
8,108
8,108
8,108
8,108
15,109
15,109
10,109
10,109
10,109
10,109
10,109
10,109
5,109
5,109
20,110
15,110
15,110
10,110
10,110
10,110
5,110
5,110
5,110
5,110
15,111
13,111
12,111
12,111
11,111
10,111
8,111
7,111
7,111
5,111
10,112
10,112
10,112
10,112
10,112
10,112
10,112
10,112
10,112
10,112
15,113
15,113
15,113
10,113
10,113
10,113
10,113
5,113
5,113
5,113
17,114
15,114
14,114
12,114
11,114
8,114
7,114
6,114
5,114
5,114
25,115
20,115
10,115
10,115
10,115
5,115
5,115
5,115
5,115
5,115
30,116
25,116
10,116
5,116
5,116
5,116
5,116
5,116
5,116
10,117
10,117
10,117
10,117
10,117
10,117
10,117
10,117
10,117
10,117
30,118
25,118
10,118
5,118
5,118
5,118
5,118
5,118
5,118
5,118
10,119
10,119
10,119
10,119
10,119
10,119
10,119
10,119
10,119
10,119
15,120
14,120
13,120
12,120
11,120
9,120
8,120
7,120
6,120
5,120
14,121
13,121
12,121
10,121
10,121
10,121
9,121
9,121
7,121
6,121
15,122
14,122
13,122
12,122
11,122
9,122
8,122
7,122
6,122
5,122
10,123
10,123
10,123
10,123
10,123
10,123
10,123
10,123
10,123
10,123
10,124
10,124
10,124
10,124
10,124
10,124
10,124
10,124
10,124
10,124
30,125
20,125
10,125
10,125
5,125
5,125
5,125
5,125
5,125
5,125
10,126
10,126
10,126
10,126
10,126
10,126
10,126
10,126
10,126
10,126
10,127
10,127
10,127
10,127
10,127
10,127
10,127
10,127
10,127
10,127
15,128
15,128
10,128
10,128
10,128
10,128
10,128
10,128
5,128
5,128
15,129
14,129
13,129
12,129
11,129
9,129
8,129
7,129
6,129
5,129
10,130
10,130
10,130
10,130
10,130
10,130
10,130
10,130
10,130
10,130
25,131
20,131
20,131
5,131
5,131
5,131
5,131
5,131
5,131
5,131
30,132
15,132
15,132
10,132
5,132
5,132
5,132
5,132
5,132
5,132
17,133
15,133
14,133
11,133
10,133
9,133
8,133
6,133
5,133
5,133
10,134
10,134
10,134
10,134
10,134
10,134
10,134
10,134
10,134
10,134
10,135
10,135
10,135
10,135
10,135
10,135
10,135
