total_meta_score,publication_01,publication_02,publication_03,publication_04,publication_05,publication_06,publication_07,publication_08,publication_09,publication_10,publication_11,publication_12,publication_13,publication_14,publication_15,publication_16,publication_17,publication_18,publication_19,publication_20,publication_21,publication_22,publication_24,publication_25,publication_26,publication_27,publication_28,publication_29,publication_30,publication_31,publication_32,publication_33,publication_34,publication_35,publication_36,publication_37,publication_38,publication_39,publication_40,publication_41,publication_42,publication_43,publication_44,publication_45,publication_46,publication_47,publication_48,publication_49,publication_50,publication_51,publication_52,publication_53,publication_54,publication_55,publication_56,publication_57,publication_58,publication_59,publication_60,publication_61,publication_62,publication_63,publication_64,publication_65,publication_66,publication_67,publication_68,publication_69,publication_70,publication_71,publication_72,publication_73,publication_74,publication_75,publication_76,publication_77,publication_78,publication_79,publication_80,publication_81,publication_82,publication_83,publication_84,publication_85,publication_86,publication_87,publication_88,publication_89,publication_90,publication_91,publication_92,publication_93,Sputnikmusic
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
77,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,80,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,82,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,59,NA,NA,NA,NA,80,70,NA,NA,70,NA,NA,NA,NA,80,NA,50,NA,NA,NA,NA,NA,NA,70
75,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,80,NA,80,NA,NA,NA,80,NA,80,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,70,60,70,NA,80,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,80,NA,NA,NA,NA,58,75,NA,NA,89,NA,NA,80,60,NA,75,NA,NA,NA,NA,NA,70,82,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,80,60,75,60
85,90,80,NA,NA,NA,NA,91,NA,91,NA,90,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,70,80,NA,NA,90,NA,NA,NA,NA,NA,90,NA,80,70,80,NA,80,NA,NA,NA,60,NA,83,NA,NA,80,NA,NA,NA,84,NA,70,80,NA,NA,80,80,91,NA,80,NA,NA,NA,NA,80,80,NA,NA,80,NA,90,NA,NA,80,NA,NA,NA,80,NA,80,NA,NA,80,NA,NA,NA,NA,70,85,NA,72
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,80,NA,75,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,80,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,60,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,60,65,60
74,NA,NA,67,NA,NA,NA,NA,NA,NA,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,60,75,80,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,72,NA,80,NA,NA,NA,NA,NA,83,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,65,NA,68
75,NA,NA,NA,80,NA,NA,91,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,80,NA,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,70,NA,NA,NA,80,83,NA,70,NA,NA,NA,NA,60,80,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,60,NA,NA,70,NA,NA,NA,70,NA,60,NA,70,NA,NA,70
64,NA,NA,NA,80,NA,NA,67,NA,NA,NA,40,NA,60,NA,NA,NA,80,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,NA,80,NA,60,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,60,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,60,NA,40,NA,60,NA,65,80
72,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,40,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,80,NA,70,NA,NA,NA,NA,NA,75,NA,NA,40,NA,NA,NA,69,NA,NA,NA,NA,NA,100,80,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,82
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
71,NA,NA,NA,80,NA,NA,83,NA,NA,NA,70,NA,100,NA,NA,NA,60,NA,NA,80,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,60,NA,60,NA,80,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,80,NA,NA,NA,80,75,NA,70,NA,52,NA,NA,20,70,NA,51,NA,NA,NA,NA,NA,60,NA,NA,80,NA,90,80,NA,NA,60,80,NA,NA,70,60,80,NA,70
62,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,50,NA,60,NA,80,NA,40,NA,NA,NA,NA,NA,NA,30,70,NA,NA,NA,NA,NA,NA,69,NA,NA,40,NA,NA,NA,NA,NA,NA,70,NA,60,NA,70,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,70,NA,NA,74
72,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,50,NA,40,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,80,91,NA,80,NA,63,NA,NA,80,80,NA,55,NA,NA,80,NA,NA,50,74,NA,NA,NA,NA,NA,80,NA,50,NA,NA,NA,NA,NA,70,60,40
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,80,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,90,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,78,NA,NA,80,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,81,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,70,NA,70
87,NA,NA,NA,80,NA,NA,75,NA,NA,NA,90,NA,80,NA,NA,70,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,90,NA,NA,NA,90,80,100,NA,68,80,NA,NA,NA,90,NA,NA,NA,100,NA,89,NA,NA,80,NA,NA,NA,80,100,NA,70,90,NA,NA,NA,80,90,NA,72.5,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,80,80,NA,90,NA,80,NA,NA,30,90,80,90,80
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,80,80,NA,NA,NA,75,NA,NA,80,NA,NA,NA,NA,NA,NA,80,NA,80,NA,80,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,91,NA,60,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,70,NA,NA,NA,80,80
72,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,80,80,NA,NA,NA,63,NA,NA,80,NA,NA,NA,NA,NA,NA,50,NA,60,60,80,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,60,NA,80,NA,60,83,NA,50,NA,91,NA,NA,60,80,NA,50,NA,NA,NA,NA,NA,80,88,NA,NA,NA,NA,60,70,NA,90,NA,NA,NA,NA,70,60,75,50
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,70,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,70,60,NA,NA,NA,80,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,80,NA,NA,NA,80,83,NA,NA,NA,73,NA,NA,80,70,NA,67,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,80,NA,80,50,NA,NA,NA,NA,60,80,NA,60
67,NA,NA,67,NA,NA,NA,67,NA,58,NA,NA,NA,NA,NA,NA,NA,60,75,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,70,NA,NA,NA,30,NA,60,NA,70,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,55,NA,70,60,NA,NA,NA,60,83,NA,60,NA,70,NA,NA,80,60,NA,NA,NA,NA,70,NA,NA,70,NA,NA,70,80,NA,NA,NA,NA,60,NA,90,80,NA,70,55,NA,60
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
63,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,60,70,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,80,NA,NA,NA,NA,80,NA,40,NA,NA,80
59,NA,NA,NA,80,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,40,NA,70,NA,60,NA,NA,40
76,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,50,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,70,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,80
55,NA,NA,NA,60,NA,NA,83,NA,NA,NA,60,NA,80,NA,NA,NA,70,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,70,NA,NA,NA,70,40,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,15,NA,NA,10,NA,NA,NA,70,NA,NA,60,50,NA,NA,NA,60,70,NA,NA,NA,NA,NA,NA,80,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,40
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,70,NA,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,70,NA,71,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,70,NA,NA,80,NA,NA,70,NA,NA,40,65,90
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,70,NA,NA,NA,NA,NA,60,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
65,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,60,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,60,NA,NA,NA,70,60,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,68,NA,NA,40,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,80,70,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,80,NA,NA,60,80,NA,NA,NA,NA,NA,NA,60,NA,NA,70
83,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,80,80,NA,70,NA,88,NA,NA,NA,NA,NA,NA,NA,76,NA,60,NA,70,80,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,86,NA,NA,80,NA,NA,NA,80,100,NA,NA,NA,NA,NA,NA,80,80,NA,83,NA,NA,NA,NA,NA,80,NA,NA,80,NA,79,90,80,NA,80,NA,NA,NA,NA,50,80,80,90
78,NA,NA,78,NA,86,NA,91,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,90,NA,NA,NA,NA,80,NA,80,NA,70,NA,NA,NA,NA,NA,NA,80,70,80,NA,NA,NA,NA,NA,71,73,NA,NA,NA,NA,NA,80,67,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,70,NA,75,60
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,80,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,80
60,NA,NA,40,80,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,40,NA,NA,40,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,NA,NA,60
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,80,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,80,NA,77,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,65,80
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,80,NA,80,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,91,NA,80,NA,NA,NA,NA,80,80,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,40,NA,NA,NA,NA,NA,40,70,90
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,79,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,65,80,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
71,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,100,NA,80,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,55,NA,NA,40,NA,NA,NA,60,83,91,70,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,80,NA,NA,NA,NA,NA,NA,60,NA,70,NA,60,70,NA,60
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
82,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
69,NA,NA,NA,70,NA,NA,91,NA,NA,NA,80,NA,100,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,NA,20,NA,90,80,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,64,NA,NA,40,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,60,NA,NA,60,70,NA,70,NA,60,NA,NA,80
59,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,80,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,67,NA,60,NA,NA,NA,NA,NA,60,NA,NA,80,NA,NA,NA,NA,NA,85,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,50,NA,NA,40
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,60,NA,63,NA,NA,NA,NA,NA,40,NA,50,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,80,33,NA,40,NA,NA,NA,NA,60,50,NA,NA,NA,NA,80,NA,NA,70,82,NA,NA,NA,NA,30,50,NA,NA,NA,NA,NA,NA,50,40,NA,70
81,NA,100,78,NA,NA,NA,83,NA,91,NA,80,NA,NA,NA,NA,NA,80,NA,90,NA,NA,60,90,NA,NA,NA,90,NA,80,100,70,NA,80,NA,80,80,70,NA,NA,NA,NA,NA,NA,70,70,NA,NA,NA,NA,NA,78,83,75,NA,60,50,NA,60,80,83,NA,50,NA,93,NA,NA,70,90,NA,70,NA,NA,60,NA,NA,80,NA,NA,70,80,NA,80,NA,NA,90,NA,NA,NA,NA,70,85,NA,82
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,76
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,NA,60,60,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,50,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,30
71,NA,NA,NA,70,NA,NA,75,NA,NA,NA,60,NA,80,NA,NA,70,80,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,60,NA,NA,NA,70,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,75,NA,NA,20,NA,NA,NA,60,58,NA,NA,70,NA,NA,NA,80,NA,NA,60,NA,NA,NA,NA,80,90,NA,NA,NA,NA,83,90,NA,80,NA,NA,NA,NA,NA,40,80,60,70
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,60,NA,80,NA,70,NA,NA,NA,NA,NA,NA,80,70,NA,NA,NA,NA,NA,72,79,NA,NA,NA,NA,NA,NA,80,75,NA,NA,NA,NA,NA,NA,60,80,NA,87,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,70,80,NA,70,NA,NA,80,NA,70,NA,90,80
